zip_part	map	page	images	categories
3	Motel	https://counterstrike.fandom.com/wiki/Motel	Image; Radar	Community Hostage maps; Operation Payback maps; Operation Phoenix maps
3	Museum	https://counterstrike.fandom.com/wiki/Museum	Image; Radar	Community Hostage maps; Operation Payback maps
3	Mutiny	https://counterstrike.fandom.com/wiki/Mutiny	Image; Radar; Logo	Community Bomb maps; Counter-Strike: Global Offensive removed maps
3	Nuke	https://counterstrike.fandom.com/wiki/Nuke	Image; Upper Radar; Lower Radar; Logo	Counter-Strike 2 Bomb maps; Counter-Strike Bomb maps; Counter-Strike: Condition Zero Bomb maps; Counter-Strike: Global Offensive Bomb maps; Counter-Strike: Source Bomb maps; Operation Wildfire maps; Active Duty Group; Defusal Group Delta; Retakes Group; Wingman Group
3	Office	https://counterstrike.fandom.com/wiki/Office	Image; Radar; Logo	Counter-Strike (Xbox) Hostage maps; Counter-Strike 2 Hostage maps; Counter-Strike Hostage maps; Counter-Strike: Condition Zero Hostage maps; Counter-Strike: Global Offensive Hostage maps; Hostage Group; Counter-Strike: Source Hostage maps
3	Oil	https://counterstrike.fandom.com/wiki/Oil	Image	Counter-Strike: Source cut maps
3	Oilrig	https://counterstrike.fandom.com/wiki/Oilrig	Image	Assassination maps
3	Otaku	https://counterstrike.fandom.com/wiki/Otaku	Image	Counter-Strike: Condition Zero cut maps
3	Overgrown	https://counterstrike.fandom.com/wiki/Overgrown	Image; Radar	Community Bomb maps; Operation Breakout maps
3	Overpass	https://counterstrike.fandom.com/wiki/Overpass	Image; Radar; Logo	Counter-Strike 2 Bomb maps; Counter-Strike: Global Offensive Bomb maps; Defusal Group Sigma; Reserves Group; Retakes Group; Wingman Group
3	Palacio	https://counterstrike.fandom.com/wiki/Palacio	Image; Radar; Logo	Counter-Strike 2 Community Bomb maps
3	Palais	https://counterstrike.fandom.com/wiki/Palais	Image; Upper Radar; Lower Radar; Logo	Counter-Strike 2 Community Wingman maps
3	Penal	https://counterstrike.fandom.com/wiki/Penal	Image	Counter-Strike (Xbox) cut maps; Counter-Strike: Condition Zero cut maps
3	Phoenix Compound	https://counterstrike.fandom.com/wiki/Phoenix_Compound	Image; Radar	Operation Wildfire maps; Co-op Strike maps
3	Phoenix Facility	https://counterstrike.fandom.com/wiki/Phoenix_Facility	Image; Overview; Logo	Operation Shattered Web maps; Co-op Strike maps
3	Pipeline	https://counterstrike.fandom.com/wiki/Pipeline	Image	Counter-Strike (Xbox) cut maps; Counter-Strike: Condition Zero cut maps
3	Piranesi	https://counterstrike.fandom.com/wiki/Piranesi	Image	Counter-Strike (Xbox) Bomb maps; Counter-Strike Bomb maps; Counter-Strike: Condition Zero Bomb maps; Counter-Strike: Source Bomb maps
3	Pitstop	https://counterstrike.fandom.com/wiki/Pitstop	Image; Upper Radar; Lower Radar; Logo	Community Bomb maps; Counter-Strike: Global Offensive removed maps
3	Pool Day	https://counterstrike.fandom.com/wiki/Pool_Day	Image; Radar; Logo	Counter-Strike Community maps; Counter-Strike: Global Offensive cut maps; Arms Race Group
3	Port	https://counterstrike.fandom.com/wiki/Port	Image	Counter-Strike: Source Bomb maps
3	Poseidon	https://counterstrike.fandom.com/wiki/Poseidon	Image; Radar; Logo	Counter-Strike 2 Community Wingman maps; Wingman Group
